Name,Address,Website
Indian Law Institute ,Bhagwan Dass Road New Delhi-110001    Delhi-  ,http://www.admissionnews.com
Institute of liver and Biliary Sciences,D-I Vasant Kunj  New Delhi 110 070    Delhi-  ,http://www.ilbs.in/
Jamia Hamdard,Hamdard Nagar  New Delhi - 110 062.    Delhi-  ,http://www.jamiahamdard.edu
National Museum Institute of History of Arts  Conservation and Musicology,National Museum  Janpath New Delhi -110001    Delhi-  ,http://nmi.gov.in
National Institute of Food Technology  Entrepreneurship & Management (NIFTEM),1  Bhawalpur House  Bhagwan- Plot No. 97  HSIIDC Industrial Estate Phase-IV Kundli  Sonepat   Haryana - 131028 ,http://www.niftem.ac.in
National University of Educational Planning & Administration,"17-B,Sri Aurobindo Marg,New Delhi-110 016    Delhi-  ",http://www.nuepa.org
Rashtriya Sanskrit Sansthana ,56-57 Institutional Area - Janakpuri  New Delhi-58    Delhi-  ,http://www.sanskrit.nic.in
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapith,"B-4,qutub Institutional Area  New Delhi- 110 016    Delhi-  ",http://www.slbsrsv.ac.in
TERI School of Advanced studies,"Darbari Seth Block  Habitat- Place,Lodhi Rd  N.Delhi-110003    Delhi-  ",http://www.teriuniversity.ac.in
Gujarat Vidyapith ,P.O. Navjeevan  Ashram Road Ahmedabad  PIN - 380 014. Gujarat   Gujarat -  ,http://www.gujaratvidyapith.org
Sumandeep Vidyapeeth ,At.&Po.-Pipariya  Takula Waghodiya Dist.Vadodara   Gujarat - 391760 ,http://www.sumandeepvidyapeethdu.edu.in
Maharishi Markandeshwar (Deemed to be University),Ambala – Yamunanagar Highway  Mullana  Ambala   Haryana - 133 207 ,http://www.mmumullana.org
Lingaya's Vidyapeeth,"Nachauli  old Faridabad,Jasana Road Fridabad- 121002    Haryana -  ",http://www.limat.org
National Brain Research Centre ,"SCO 5,6 & 7 Sector-XV Part-II Gurgaon -122001 (Haryana)    Haryana -  ",http://www.nbrc.ac.in
National Dairy Research Institute,Karnal - 132 001. HARYANA     Haryana -  ,http://www.ndri.res.in
Manav Rachna International Institute of Research and Studies,5E/1A  Bungalow Plot  N.I.T. Faridabad-121001 Haryana   Haryana -  ,http://manavrachna.edu.in/
Birla Institute of Technology,Mesra  Ranchi - 835 215. (JHARKHAND)    Jharkhand -  ,http://www.bitmesra.ac.in
B.L.D.E. ,Bijapur Karantaka    Karnataka -  ,http://bldedu.ac.in/
Christ ,Hosur Road Bangalore-560029 Karnataka   Karnataka -  ,http://www.christuniversity.in
Indian Institute of Science ,Bangalore - 560 012.     Karnataka -  ,http://www.iisc.ernet.in
International Institute of Information Technology,Bangalore  (IIIT-B) Karnataka No26/C  Electronics City  Hosur Rd. Bangalore   Karnataka - 560100 ,http://www.iiitb.ac.in
Jain ,91/2 Dr.A.N. Krishna Rao Road V.V.Puram   Bangalore     Karnataka -  ,http://www.jainuniversity.ac.in
JSS Academy of Higher Education & Research,JSS Medical Institution Campus  Sri Shivarathreeshwara Nagara  Mysore     Karnataka - 570015 ,www.jssuni.edu.in
Jawahar lal Nehru Centre for Advanced Scientific Research,Jakkur P.O.  Bangalore-560064 (Kanataka)    Karnataka -  ,http://www.jncasr.ac.in
K.L.E. Academy of Higher Education and Research,J.N. Medical College Campus  Nehru Nagar  Belgaum-590010 Karnataka   Karnataka -  ,http://www.kleuniversity.edu.in
Manipal Academy of Higher Education,manipal.edu.  Madhav Nagar Manipal-576119. KARNATAKA    Karnataka -  ,http://www.manipal.edu
National Institute of Mental Health & Neuro Sciences ,Bangalore - 560 029.     Karnataka -  ,http://www.nimhans.kar.nic.in
NITTE ,"University Enclave,Nedical Sciences complex  Post Nityananda Nagar  Deralakatte  Mangalore-575018   Karnataka - 575018 ",http://www.nitte.edu.in
Sri Devraj Urs Academy of Higher Education and Research ,"Post Box No.62,Tamaka Kolar-563101  Karnataka    Karnataka -  ",http://www.sduu.ac.in
Sri Siddhartha Academy of Higher Education ,"Agalakote  B.H. Road,Tumkur-572107 Karnataka    Karnataka -  ",http://www.sahetumkur.ac.in
Swami Vivekananda Yoga Anusandhana Samsthana,No. 9 Appa Jappa Agrahara  Bangalore-560018    Karnataka -  ,http://www.vyasa.org
Yenepoya ,Mangalore  Karnataka     Karnataka -  ,http://yenepoya.edu.in
Kerala Kalamandalam ,"Vallathol Nagar Cheruthuruthy,P.O.,Thrissur Kerala-679531   Kerala -  ",http://www.kalamandalam.org
Indian Institute of Space Science and Technology,Valiamala P.O.  Thiruvananthapuram    Kerala - 695547 ,http://www.iist.ac.in
Indian Institute of Information Technology and Management,Gwalior-474004 (M.P.) Nh92  Morena Link Road.    Madhya Pradesh -  ,http://www.iiitm.ac.in
Pandit Dwarka Prasad Mishra Indian Institute of Information Technology,Technologhy  Design & Manufacturing IT Bhavan  Govt. Engineering College   Jabalpur   Madhya Pradesh   Madhya Pradesh -  ,http://www.iitk.ac.in
Lakshmibai National Institute of Physical Education ,Shaktinagar  Mela Road  Gwalior - 474002. M.P.   Madhya Pradesh -  ,http://www.lnipe.nic.in
Bharati Vidyapeeth,Lal Bahadur Shastri Marg  Pune     Maharashtra - 411030 ,http://bvuniversity.edu.in/
Central Institute of Fisheries Education ,Andheri (W) Mumbai - 400 061    Maharashtra -  ,http://www.cife.edu.in
D.Y Patil Educational Society,"869  E  D.Y.Patil Vidyanagar,Kasada Kolhapur-416006    Maharashtra -  ",http://www.dypatilunikop.org
Datta Meghe Institute of Medical Sciences,Wardha- Yavatmal Road  Sawangi (Meghe) Wardha   Maharashtra - 442107 ,http://www.dmims.edu.in
Deccan College Postgraduate & Research Institute,Pune - 411 006.     Maharashtra -  ,http://www.deccancollegepune.ac.in
Dr. D.Y. Patil Vidyapeeth ,Pimpri  Pune    Maharashtra - 411018 ,http://www.dpu.edu.in
Gokhale Institute of Politics & Economics ,Pune - 411 004.     Maharashtra -  ,http://www.gipe.ac.in
Homi Bhabha National Institute  Regd. Office,Knowledge Mgt. Group Bhabha Atomic Research  Centre Central Complex  Mumbai-85   Maharashtra - 400085 ,http://www.hbni.ac.in
Indira Gandhi Institute of Development Research ,"Goregaon East,Santosh Nagar Mumbai-400 065.    Maharashtra -  ",http://www.igidr.ac.in
Defence Institute of Advanced Technology,Girinagar  Pune     Maharashtra - 411 025 ,https://www.diat.ac.in
International Institute for Population Sciences ,Deonar Mumbai - 400 088.    Maharashtra -  ,http://www.iipsindia.org
Institute of Chemical Technology,NathalalParekh Marg  Matunga  Mumbai-400019 Maharashtra   Maharashtra -  ,http://www.ictmumbai.edu.in
Krishna Institute of Medical Sciences ,"Near Dhebewadi Road  malkapur  Tal.Karad,Distt. Satara,-415539 Maharashtra   Maharashtra -  ",http:/www. kimsuniversity.in
MGM Institute of Health Sciences,"MGM Campus  Sector-18,Kamothe Maharashtra    Maharashtra -  ",http://www.mgmuhs.com
Narsee Monjee Institute of Management Studies ,V.L.Mehta Road  Vile Parle (W) Mumbai-400056 Maharashtra    Maharashtra -  ,http://www.nmims.edu
Padmashree Dr.D.Y. Patil Vidyapeeeth,Vidyanagar  Nerul Navi Mumbai Pin-400 706    Maharashtra -  ,http://www.dypatil.ac.in
Pravara Institute of Medical Sciences,"P.O. Loni,B.K-413736  Tal.  Rahata Dist; Ahmednagar (M S)    Maharashtra -  ",http://www.pravara.com/
Symbiosis International University,Gram: Lavale  Tal: Mulshi District: Pune Maharashtra   Maharashtra - 412 115 ,http://www.siu.edu.in
Tata Institute of Fundamental Research,Homi Bhaba Road  Mumbai- 400 005    Maharashtra -  ,http://www.tifr.ac.in
Tata Institute of Social Sciences ,V.N.Purav Marg  Deonar Mumbai-400 088.    Maharashtra -  ,http://www.tiss.edu
Tilak Maharashtra Vidyapeeth,Vidyapeeth Bhavan  Mukundnagar Gultekdi  Pune-411037    Maharashtra -  ,http://www.tmv.edu.in
Kalinga Institute of Industrial Technology,Bhubneshwar Orissa-751 024    Orissa -  ,http://www.kiit.ac.in
Siksha 'O' Anusandhan,"J-15,Khandagiri Square Khandagiri,Bhumbneswar Orissa- 751 030   Orissa -  ",http://www.soauniversity.ac.in
Sant Longowal Institute of Engineering and Technology,Longowal District- Sangru  Punjab    Punjab -  ,http://www.sliet.ac.in
Thapar Institute of Engineering & Technology ,Thapar TEchnology Campus   Bhadson Road  Patiala   Punjab - 147004 ,http://www.thapar.edu.in
Sri Balaji Vidyapeeth (Deemed to be University),Pondy-Cuddalore Main Road Pillaiyarkuppam  Pondicherry  Union Territory of Pudducherry   Puducherry- 607402 ,http://www.sbvu.ac.in
Banasthai Vidyapith ,PO. Banasthali PIN - 304022. (RAJASTHAN)    Rajasthan-  ,http://www.banasthali.org
Birla Institute of Technology & Science,Vidya Vihar Pilani    Rajasthan- 333031 ,http://www.bits-pilani.ac.in
Institute of Advanced Studies in Education ,"Gandhi Vidya Mandir  Sardar Shahr   Churu,   Rajasthan- 331401 ",http://www.iaseuniversity.org.in
IIS ,Gurukul Marg  Mansarovar  Jaipur Rajasthan   Rajasthan-  ,http://www.iisuniv.ac.in
Jain Vishva Bharati Institute ,B.No.6  Ladnun-341 306. RAJASTHAN    Rajasthan-  ,http://jvbi.ac.in
Janardan Rai Nagar Rajasthan Vidyapeeth,Paatap Nagar  air Port Road Udaipur PIN - 313 001.(RAJASTHAN)    Rajasthan-  ,http://www.jrnrvu.org
The LNM Institute of Information Technology  jaipur,"Gram-Rupa ki Nangal  Post-Sumel,Via-Jamdoli  District:-Jaipur   Rajasthan- 302031 ",http://www.lnmiit.ac.in
Mody Institute of Education and Research ,Lakshmangarh  Dist. Sikar   Rajasthan    Rajasthan-  ,http://www.mitsuniversity.ac.in
