Name,City,State,Website
All India Institute of Medical Sciences,Delhi,Delhi,http://www.aiims.edu
Indian Institute of Technology,Delhi,Delhi,http://www.iitd.ac.in
Sree Chitra Tirunal Institute for Medical Sciences & Technology,Hapur,Uttar Pradesh,http://www.sctimst.ac.in
Indian Institute of Technology,Mumbai,Maharashtra,http://www.iitb.ac.in
Dakshina Bharat Hindi Prachar Sabha,Chennai,Tamil Nadu ,http://www.dbhps-chennai.com
Indian Institute of Technology,Chennai,Tamil Nadu ,http://www.iitm.ac.in
Post-Graduate Institute of Medical Education & Research,Chandigarh ,Chandigarh,http://www.pgimer.nic.in
Indian Institute of Technology,Ahmedabad,Gujarat,
Indian Institute of Technology,Hyderabad,Telangana,
Indian Institute of Technology,Puri,Odisha,
Indian Institute of Technology,Patna,Bihar,
Alliance University,Chanda,Maharashtra,http://www.alliance.edu.in
Azim Premji University,Bengaluru,Karnataka,http://azimpremjifoundation.org/
Chitkara  University,Patiala,Punjab,http://www.chitkara.edu.in
Dr K N Modi University,Tonk,Rajasthan,http://www. dknmu.org
G L A University,Delhi,Delhi,http://www.gla.ac.in
IFTM University,Delhi,Delhi,http://iftmuniversity.ac.in
Invertis University,Lucknow,Uttar Pradesh,http://www.invertis.org
Navrachana University,Vadodara,Gujarat,http://www.nuv.ac.in
Pacific Academy of Higher Education  & Research (PAHER),Udaipur,Rajasthan,
South Asian University,Delhi,Delhi,www.southasianuniversit.org
University College of Medical Sciences,Delhi,Delhi,www.ucms.ac.in
Damodaram Sanjivayya National Law University,Patna,Bihar,http://dsnlu.ac.in/
Jawaharlal Nehru Architecture and Fine Arts University,Hyderabad,Telangana,http://jnafau.ac.in
Ayush and Health Sciences University of Chhattisgarh,Raipur,Chhattisgarh,http://www.cghealthuniv.com/
Lala Lajpat Rai University of Veterinary & Animal Sciences ,Hisar,Haryana,
YMCA University of Science & Technology,Faridabad,Haryana,http://ymcaust.ac.in
National University of Study & Research in Law,Ranchi,Jharkhand,http://nusrlranchi.com
Vijayanagara Sri Krishnadevaraya University,Bellary,Karnataka,http://www.vskub.ac.in
Kerala University of Fisheries & Ocean Studies ,Kochi,Kerala,www.kufos.ac.in 
Madhya Pradesh Pashu Chikitsa Vigyan Vishwavidyalaya,Jabalpur,Madhya Pradesh,
Maharaja Ganga Singh University,Bikaner,Rajasthan,
Khwaja Moinuddin Chishti Urdu  Arabi-Farsi University,Lucknow,Uttar Pradesh,
Presidency University,Kolkata ,West Bengal,http://www.presiuniv.ac.in
Sidho-Kanho-Birsha University,Ranchi,Jharkhand,http://www.skbu.ac.in
Maharishi Markandeshwar University,Ambala,Haryana,http://www.mmambala.org
Amity University,Gwalior,Madhya Pradesh,http://www.amity.edu
ITM University,Gwalior,Madhya Pradesh,www.itmuniversity.ac.in
University of Technology & Management,Shillong ,Meghalaya,http://www.utm.ac.in
Raffles University,Alwar,Rajasthan,www.rafflesuniversity.edu.in
Homoeopathy University,Jaipur,Rajasthan,
Babu Banarasi Das University,Lucknow,Uttar Pradesh,http://www.bbdu.ac.in
Rajiv Gandhi University of Knowledge Technology,Hyderabad,Telangana,http://www.rgukt.in/
Indian Institute of Technology,Indore,Madhya Pradesh,
Indian Institute of Technology,Jodhpur,Rajasthan,
National Institute of Technology,Puducherry,Puducherry,
National Institute of Technology,Delhi,Delhi,
KSGH Music and Performing Arts University,Mysore,Karnataka,http://www.musicuniversity.ac.in
Assam Down Town University,Guwahati,Assam,www.adtu.in 
UKA Tarsadia University,Surat,Gujarat,http://www.utu.ac.in
NIILM University,Ambala,Haryana,www.niilmuniversity.in
Rabindranath Tagore University (formerly known as AISECT University),Bhopal ,Madhya Pradesh,www.aisectuniversity.ac.in
People's University,Bhopal ,Madhya Pradesh,www.peoplesuniversity.edu.in
Oriental University,Indore,Madhya Pradesh,http://www.orientaluniversity.in
RKDF University,Bhopal ,Madhya Pradesh,www.rkdf.ac.in
William Carey University,Shillong ,Meghalaya,http://www.williamcareyuniversity.ac.in
ICFAI University,Agra,Uttar Pradesh,https://www.iujaipur.edu.in/
ICFAI University,Bhilai,Chhattisgarh,
Pratap University,Ajmer,Rajasthan,http://www.pratap.edu.in
Manipal University,Ajmer,Rajasthan,http://www.jaipur.manipal.edu
Sunrise University,Alwar,Rajasthan,
JK Lakshmipat University,Ajmer,Rajasthan,http://www.jklu.edu.in
Mahatma Gandhi University of Medical Sciences & Technology,Jaipur,Rajasthan,
Graphic Era Hill University,Dehradun,Uttarakhand,
RK University,Bhavnagar,Gujarat,http://www.rku.ac.in
The Assam Kaziranga University,Jorhat,Assam,www.kazirangauniversity.in
Kalinga University,Raipur,Chhattisgarh,https://kalingauniversity.ac.in/
Rai University,Ahmedabad,Gujarat,http://www.raiuniversity.edu
AURO University of Hospitality and Management,Surat,Gujarat,http://aurouniversity.edu.in
M.V.N. University,Agra,Uttar Pradesh,http://mvn.edu.in
Baba MastNath University,Rohtak,Haryana,http://bmu.ac.in
Ansal University ,Gurugram,Haryana,http://ansaluniversity.edu.in
Jharkhand Rai University,Ranchi,Jharkhand,http://www.jru.edu.in
Sai Nath University,Ranchi,Jharkhand,http://www.sainathuniversity.com
Sri Sri University,Cuttack,Odisha,http://srisriuniversity.edu.in
Maharaj Vinayak Global University,Jaipur,Rajasthan,http://www.mvgu.ac.in
University of Engineering & Management,Jaipur,Rajasthan,
Career Point University,Kota,Rajasthan,
Vivekananda Global University,Jaipur,Rajasthan,http://vgu.ac.in
Poornima University,Jaipur,Rajasthan,
Sangam University,Bhilwara,Rajasthan,http://sangamuniversity.ac.in
Monad University ,Delhi,Delhi,http://www.monad.edu.in
NIIT University,Alwar,Rajasthan,http://www.niituniversity.in
National Law University and Judicial Academy,Guwahati,Assam,http://www.nluassam.ac.in/
Bodoland University,Hata,Uttar Pradesh,http://www.bodolanduniversity.ac.in
Assam Rajiv Gandhi University of Co-operative Management,Guwahati,Assam,http://argucom.org.in
Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya,Gwalior,Madhya Pradesh,
A P Goyal Shimla University,Shimla,Himachal Pradesh,http://agu.edu.in
Geetanjali University,Udaipur,Rajasthan,http://geetanjaliuniversity.com
J.E.C.R.C  University,Jaipur,Rajasthan,http://jecrcuniversity.edu.in
Atal Bihari Bajpayee Vishwavidyalaya,Bilaspur,Chhattisgarh,https://www.bilaspuruniversity.ac.in/
ITM University,Raipur,Chhattisgarh,http://www.itmuniversity.org
Atal Bihari Vajpayee Hindi Vishwavidyalaya,Bhopal ,Madhya Pradesh,
Shri Ramswaroop Memorial University,Lucknow,Uttar Pradesh,http://www.srmu.ac.in
Assam Science & Technology University,Guwahati,Assam,http://www.astu.org.in
Techno India University,Kolkata ,West Bengal,
Indus University,Ahmedabad,Gujarat,http://indusuni.ac.in
The Glocal University,Delhi,Delhi,https://www.glocaluniversity.edu.in
Raja Mansingh Tomar Music & Arts University,Gwalior,Madhya Pradesh,
Rajasthan University of Veterinary & Animal Sciences,Bikaner,Rajasthan,
Rajasthan University of Veterinary & Animal Sciences,Bikaner,Rajasthan,
Bihar Agricultural University,Bhagalpur,Bihar,http://bausabour.ac.in
DIT University,Dehradun,Uttarakhand,http://www.dit.edu.in
IMS Unison University,Dehradun,Uttarakhand,http://www.iuu.ac
D.A.V University,Pathankot,Punjab,http://www.davuniversity.org
Uttaranchal University,Chanda,Maharashtra,www.uttaranchaluniversity.ac.in
K.R. Mangalam University,Delhi,Delhi,http://krmangalam.edu.in
Jagran Lakecity University,Bhopal ,Madhya Pradesh,http://www.jlu.edu.in
Sardar Patel University of Police  Security & Criminal Justice,Jodhpur,Rajasthan,http://www.policeuniversity.ac.in
Swami Rama Himalayan University,Dehradun,Uttarakhand,
Raksha Shakti University,Ahmedabad,Gujarat,
Shobhit University,Saharanpur,Uttar Pradesh,http://shobhituniversity.ac.in
South Asian Universit y,Delhi,Delhi,http://www.southasianuniversity.org
Haridev Joshi University of Journalism and Mass Communication,Jaipur,Rajasthan,http://www.hjuj.ac.in
Cotton University,Guwahati,Assam,https://cottonuniversity.ac.in/
C. U. Shah University,Ahmedabad,Gujarat,http://www.cushahuniversity.ac.in
CMR University,Kalyan,Maharashtra,http://www.cmr.edu.in
Srimanta Sankaradeva University of Health Sciences,Guwahati,Assam,http://ssuhs.in
Uttarakhand Ayurved University,Dehradun,Uttarakhand,http://www.uau.ac.in
Kazi Nazrul University,Asansol,West Bengal,http://www.knu.ac.in
Sri Satya Sai University of Technology & Medical Sciences,Bhopal ,Madhya Pradesh,http://sssutms.co.in
Maulana Azad University,Jodhpur,Rajasthan,
Tamil Nadu Music and Fine Arts University,Chennai,Tamil Nadu ,
Hemwati Nandan Bahuguna Medical Education University,Dehradun,Uttarakhand,
Shekhawati University,Kalyan,Maharashtra,
Al-Falah University,Faridabad,Haryana,alfalahuniversity.edu.in
BML Munjal University,Gurugram,Haryana,https://www.bml.edu.in
Team Lease Skills University,Vadodara,Gujarat,
Dr. Bhimrao Ambedkar Law University,Jaipur,Rajasthan,
ITM Vocational University,Vadodara,Gujarat,
Shri Ramasamy Memorial University  Sikkim,Gangtok,Sikkim,http://www.srmus.ac.in
Amity University,Hata,Uttar Pradesh,http://www.amity.edu/mumbai/
Amity University,Raipur,Chhattisgarh,
Nizam's Institute of Medical Sciences,Hyderabad,Telangana,http://www.nims.edu.in/
Arunodaya University,Itanagar,Arunachal Pradesh,http://www.arunodayauniversity.ac.in
Maharishi Mahesh Yogi Vedic Vishwavidyalaya,Jabalpur,Madhya Pradesh,
IIHMR University,Jaipur,Rajasthan,http://www.iihmr.edu.in
Maharishi University of Information Technology,Lucknow,Uttar Pradesh,http://www.muit.in
Jaypee University,Aligarh,Uttar Pradesh,http://www.jaypeeu.ac.in
U.P. Pandit Deen Dayal Upadhyaya Pashu Chikitsa Vigyan Vishwavidhyalaya Evam Go-Anusandhan Sansthan,Mathura,Uttar Pradesh,http://www.upvetuniv.edu.in
Assam Women's University,Jorhat,Assam,
Adamas University,Kolkata ,West Bengal,
Adamas University,Kolkata ,West Bengal,
Sarvepalli Radhakrishnan University,Bhopal ,Madhya Pradesh,http://www.srku.edu.in/
State University of Performing and Visual Arts,Rohtak,Haryana,
University of Engineering and Management,Kolkata ,West Bengal,
Professor Jayashankar Telangana State Agricultural University,Hyderabad,Telangana,
Spicer Adventist University,Pune,Maharashtra,http://www.sau.edu.in
Lakulish Yoga University,Ahmedabad,Gujarat,
Sri Konda Laxman Telangana State Horticultural University,Hyderabad,Telangana,
Ajeenkya D.Y. Patil University,Pune,Maharashtra,http://adypu.edu.in/
Flame University,Pune,Maharashtra,
Parul University,Vadodara,Gujarat,http://www.paruluniversity.ac.in
G.L.S. University,Ahmedabad,Gujarat,
Srinivas University,Mangalore,Karnataka,www.srinivasuniversity.ac.in  www.srinivasuniversity.edu.in
R.N.B. Global University,Bikaner,Rajasthan,www.rnbglobal.edu.in
Raj Rishi Bhartrihari Matsya University,Alwar,Rajasthan,
LNCT University,Bhopal ,Madhya Pradesh,
GSFC University,Vadodara,Gujarat,http://www.gsfcuni.edu.in
J.S. University,Firozabad,Uttar Pradesh,www.jsu.ac.in
West Bengal University of Teachers  Training  Education Planning and Administration,Kolkata ,West Bengal,
Sanchi University of Buddhist-Indic Studies,Bhopal ,Madhya Pradesh,http://www.sanchiuniv.edu.in
Manav Rachna University,Delhi,Delhi,http://mru.edu.in/
Ch. Bansi Lal University,Bhiwani,Haryana,http://www.cblu.ac.in
Maharaja Chhatrasal Bundelkhand Vishwavidyalaya,Hata,Uttar Pradesh,
Delhi Pharmaceutical Sciences & Research University,Delhi,Delhi,www.dpsru.edu.in
A.P.J. Abdul Kalam Technological University,Hapur,Uttar Pradesh,
Gujarat University of Transplantation Sciences,Ahmedabad,Gujarat,http://www.guts.education/
Institute of Infrastructure Technology Research and Management,Ahmedabad,Gujarat,http://iitram.ac.in
Maharaja Surajmal Brij University,Bharatpur,Rajasthan,http://www.brijuniversity.ac.in/
Maharishi Arvind University  Jaipur,Jaipur,Rajasthan,
P.K. University,Puri,Odisha,http://pkuniversity.edu.in/
Maharashtra National Law University,Mumbai,Maharashtra,http://www.nlumumbai.edu.in
Medi-Caps University,Indore,Madhya Pradesh,http://www.medicaps-institute.ac.in/
MIT Art Design and Technology University,Pune,Maharashtra,http://www.mituniversity.edu.in
Dr. B. R. Ambedkar University of Social Sciences,Indore,Madhya Pradesh,https://brauss.in/
Central Institute of Buddhist Studies(CIBS),Jammu,Jammu and Kashmir,http://www.cibs.ac.in/
Brainware University,Kolkata ,West Bengal,http://brainwareuniversity.ac.in/
Maharaja Bir Bikram University,Agartala,Tripura,
PDM University,Aurangabad,Maharashtra,
Dr. A.P.J Abdul Kalam University,Indore,Madhya Pradesh,www.aku.ac.in
Shri Vaishnav Vidyapeeth Vishwavidyalaya,Indore,Madhya Pradesh,http://www.svvv.edu.in
Anant National University,Ahmedabad,Gujarat,http://www.anu.edu.in
Bhupal Nobles University,Udaipur,Rajasthan,https://www.bnuniversity.ac.in
Navsari Agriculture University,Navsari,Gujarat,
Amity University,Ranchi,Jharkhand,http://www.amity.edu/ranchi/
Pragyan International University,Ranchi,Jharkhand,
Malwanchal University,Indore,Madhya Pradesh,https://www.malwanchaluniversity.com
Marwadi University,Rajkot,Gujarat,
The Sanskrit College and University,Kolkata ,West Bengal,
Era University,Lucknow,Uttar Pradesh,http://www.erauniversity.in
Sanskriti University,Delhi,Delhi,http://www.sanskriti.edu.in/
IIMT University,Meerut,Uttar Pradesh,http://iimtu.com/
Allahabad State University,Allahabad,Uttar Pradesh,
Jharkhand Raksha Shakti University,Ranchi,Jharkhand,
Usha Martin University,Ranchi,Jharkhand,
Birla Global University,Chanda,Maharashtra,http://www.bgu.ac.in
The Assam Royal Global University,Guwahati,Assam,http://www.rgu.ac/
Jharkhand Raksha Shakti University,Ranchi,Jharkhand,
CT University,Ludhiana,Punjab,http://www.ctuniversity.in
Symbiosis University of Applied Sciences (SUAS),Indore,Madhya Pradesh,
Bareilly International University,Bareilly,Uttar Pradesh,
Sai Tirupati University,Udaipur,Rajasthan,
St. Xavier's University,Kolkata ,West Bengal,
Starex University,Gurugram,Haryana,www.starexuniversity.com
Avantika University,Ujjain,Madhya Pradesh,http://www.avantikauniversity.edu.in/
Karnataka State Rural Development and Panchayat Raj University,Bengaluru,Karnataka,www.ksrdpru.in
Mody University of Science & Technology,Sikar,Rajasthan,
Mody University of Science & Technology,Sikar,Rajasthan,www.modyuniversity.ac.in
Cluster University of Jammu,Jammu,Jammu and Kashmir,
P. P. Savani University,Surat,Gujarat,
Dr. Vishwanath Karad MIT World Peace University,Pune,Maharashtra,
Vishwakarma University,Pune,Maharashtra,https://www.vupune.ac.in/
Symbiosis Skills and Open University,Mumbai,Maharashtra,http://www.ssou.ac.in/
University of Technology,Jaipur,Rajasthan,https://www.uot.edu.in
Sri Guru Ram Das University of Health Sciences,Amritsar,Punjab,
Maharashtra National Law University,Aurangabad,Maharashtra,
Bhartiya Skill Development University,Ajmer,Rajasthan,www.ruj-bsdu.in
Manipur Technical University,Imphal,Manipur,
Shri Guru Ram Rai University,Dehradun,Uttarakhand,
Sarla Birla University,Ranchi,Jharkhand,
Bengaluru North University,Kolar,Karnataka,
Sanjay Ghodawat University,Hapur,Uttar Pradesh,http://www.sanjayghodawatuniversity.ac.in/
Bengaluru Central University,Bengaluru,Karnataka,
Sharnbasva University,Gulbarga,Karnataka,
Haryana Vishwakarma Skill University,Gurugram,Haryana,
University of Agricultural Sciences,Raichur,Karnataka,
YBN University,Ranchi,Jharkhand,
Manipur University of Culture,Imphal,Manipur,
The Global University,Itanagar,Arunachal Pradesh,
Kamdhenu University,Diu,Daman and Diu,
Ras Bihari Bose Subharti university,Chanda,Maharashtra,
International Institute of Information Technology,Raipur,Chhattisgarh,
Quantum University,Dehradun,Uttarakhand,http://quantumuniversity.edu.in/
Rajasthan ILD Skills University (RISU),Jaipur,Rajasthan,
VIT Bhopal University,Bhopal ,Madhya Pradesh,
Cluster University of Srinagar,Jammu,Jammu and Kashmir,
Kaloji Narayan Rao University of Health Sciences,Warangal,Telangana,http://knruhs.in
Sage University,Indore,Madhya Pradesh,http://sageuniversity.in/
Sri P V Narsimha Rao Telangana Veterinary University,Hyderabad,Telangana,
Maharana Partap Horticultural University,Karnal,Haryana,
Centurion University of Technology and Management,Patna,Bihar,http://cutmap.ac.in/ 
World University Of Design,Sonipat,Haryana,www.worlduniversityofdesign.ac.in
Sister Nivedita University,Kolkata ,West Bengal,
Amity University,Patna,Bihar,
Himachal Pradesh National Law University,Shimla,Himachal Pradesh,
Hemchand Yadav Vishwavidyalaya(Earlier known as Durg Vishwavidyalaya),Raipur,Chhattisgarh,http://www.durguniversity.ac.in
Renaissance University,Indore,Madhya Pradesh,http://renaissance.ac.in/
Binod Bihari Mahto Koylanchal University,Dhanbad,Jharkhand,
D Y Patil International University,Pune,Maharashtra,http://dypiu.ac.in
Dr C. V. Raman University,Muzaffarpur,Bihar,
Dr Shyama Prasad Mukherjee University,Ranchi,Jharkhand,
Dr. Shyama Prasad University,Ranchi,Jharkhand,
Atmiya University,Rajkot,Gujarat,
VIT-AP University,Amaravati,Maharashtra,http://vitap.ac.in/
Indian Association for the Cultivation of Science (IACS),Kolkata ,West Bengal,http://www.iacs.res.in/
IILM University,Gurugram,Haryana,https://www.iilm.edu/
Madhyanchal Professional University,Bhopal ,Madhya Pradesh,https://www.mpu.ac.in
Bhabha University,Bhopal ,Madhya Pradesh,
Purnea University,Purnea,Bihar,
Indira Gandhi Delhi Technical University for Women,Delhi,Delhi,
Shri Rawatpura Sarkar University,Raipur,Chhattisgarh,http://www.sruraipur.ac.in/
Shri Krishna University,Hata,Uttar Pradesh,
Patliputra University,Patna,Bihar,
National Rail and Transportation Institute ,Vadodara,Gujarat,
Dharmashastra National Law University,Jabalpur,Madhya Pradesh,
Dr C V Raman University,Indore,Madhya Pradesh,
Al-Karim University,Purnea,Bihar,
AAFT University of Media and Arts,Raipur,Chhattisgarh,
Netaji Subhas University,Bhilai,Chhattisgarh,
Chhatrapati Shivaji Maharaj University,Mumbai,Maharashtra,
Dhanamanjuri University,Imphal,Manipur,
Netaji Subhas University of Technology,Delhi,Delhi,https://www.nsut.ac.in
Capital University,Patna,Bihar,
Bihar Animal Sciences University,Patna,Bihar,
Apex university ,Jaipur,Rajasthan,
Lords University,Alwar,Rajasthan,
Sikkim State University,Gangtok,Sikkim,
AIPH University,Cuttack,Odisha,http://aiph.ac.in/
Shri Khushal Das University,Surat,Gujarat,http://skduniversity.com/
Sardar Bhagwan Singh University,Dehradun,Uttarakhand,
Bikaner Technical University,Bikaner,Rajasthan,
Gurugram University,Gurugram,Haryana,
Dr. Abdul Haq Urdu University,Kurnool,Andhra Pradesh,
Manipur International University,Imphal,Manipur,
Mata Gujri University,Pali,Rajasthan,
Om Sterling Global University,Chandigarh ,Chandigarh,https://www.osgu.ac.in/
Jharkhand University of Technology,Ranchi,Jharkhand,
Dr. B.R. Ambedkar National Law University,Sonipat,Haryana,
Ram Krishna Dharmath Foundation University,Ranchi,Jharkhand,
Dr. Ram Manohar Lohia Institute of Medical Sciences,Lucknow,Uttar Pradesh,
